Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,numberofinvestors
2017-06-15,moneytap,consumerinternet,moneylendingplatform,bangalore,"Sequoia India, NEA, Prime Venture Partners",privateequity,12300000,3
2017-06-16,goodbox,ecommerce,mobilesaas ecommerceplatformforsmes,bangalore,"Nexus Venture Partners, Mekin Maheshwari",privateequity,1000000,2
2017-06-16,fincash,consumerinternet,personalfinanceplatform,mumbai,"Mohammed Khan, Sameer Narayan & Others",seedfunding,100000,2
2017-06-16,portdesk,technology,maritimesolutions,noida,Alphard Maritime Group,seedfunding,2000000,1
2017-06-16,edgefx,ecommerce,diyprojectkitsseller,hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",seedfunding,12031073,3
2017-06-16,eazydiner,consumerinternet,onlinerestaurantreservationplatform,gurgaon,YouWeCan Ventures,seedfunding,12031073,1
2017-06-16,healthintel,healthcare,onlinepharmacy,newdelhi,BLIP Initiatives,seedfunding,12031073,1
2017-06-19,unbxd,technology,cloud-basedproductdiscoveryplatform,bangalore,Eight Roads Ventures,privateequity,12500000,1
2017-06-19,darwinbox,technology,enterprisehumanresourcesmanagementplatform,hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",privateequity,4000000,4
2017-06-20,forevershop,consumerinternet,mobilebasedecommerceplatform,bangalore,91maker.com,seedfunding,300000,1
2017-06-20,insider.in,consumerinternet,eventsticketingplatform,mumbai,Paytm,privateequity,5200000,1
2017-06-21,fynd,ecommerce,fashionetailer,mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",privateequity,2400000,7
2017-06-21,growfit,consumerinternet,health-techplatform,bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",privateequity,4500000,3
2017-06-21,fabulyst,technology,artificialintelligencebasedplatform,hyderabad,iBhubs,seedfunding,215000,1
2017-06-21,mswipe,technology,point-of-saleservices,mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",privateequity,31000000,4
2017-06-21,oneassist,consumerinternet,creditcardfraudprotection,mumbai,Sequoia Capital,privateequity,12031073,1
2017-06-22,juliacomputing,technology,opensourcelanguagefordatascienceandmachinelearning,bangalore,"General Catalyst, Founder Collective",privateequity,4600000,2
2017-06-22,kissht,consumerinternet,consumerlendingplatform,mumbai,"Endiya Partners, Ventureast",privateequity,2000000,2
2017-06-22,explorelifetraveling,consumerinternet,localhomesbookingplatform,bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",seedfunding,500000,4
2017-06-23,loantap,consumerinternet,lendingplatformforsalariedprofessionals,mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",privateequity,4000000,4
2017-06-23,voxweb,consumerinternet,mobilebasedsocialnetworkingplatform,mumbai,Undisclosed investors,seedfunding,1000000,1
2017-06-26,huginnovations,technology,gesturebased smartwatchmanufacturer,hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",privateequity,5000000,4
2017-06-26,flipkart,ecommerce,onlinemarketplace,bangalore,Naspers,privateequity,71000000,1
2017-06-26,vresorts,consumerinternet,holiday&vacationresortaggregator,noida,"Seedfund, RB International",privateequity,4000000,2
2017-06-27,stashfin,consumerinternet,personalfinanceapp,newdelhi,"Snow Leopard Ventures, Alto Partners",privateequity,5000000,2
2017-06-27,formcept,consumerinternet,unifieddataanalysisplatform,bangalore,Gujarat Venture Finance Ltd,privateequity,12031073,1
2017-06-27,spareshub,ecommerce,automobilepartsmarketplace,pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",seedfunding,311000,4
2017-06-28,fitraq,consumerinternet,fitnesscentrediscoveryplatform,newdelhi,"Aparup Sengupta, Devendra Reddy,",seedfunding,12031073,3
2017-06-28,rubique,consumerinternet,onlinemarketplaceforfinancialproducts,mumbai,"Kalaari Capital, Udayan Goyal",privateequity,3000000,2
2017-06-28,niki.ai,consumerinternet,aibasedpersonalassistant,bangalore,"SAP.iO, Unilazer Ventures",privateequity,2000000,2
2017-06-29,fitpass,consumerinternet,onlinefitnessmarketplace,newdelhi,"Abhinav Bindra, Gaurav Marya",privateequity,1000000,2
2017-06-29,zinghr,technology,"digitalemployeesolutions,",mumbai,Zeta,privateequity,12031073,1
2017-06-30,tagosdesign,technology,in-videodiscoveryplatform,bangalore,Undisclosed Investors,privateequity,5000000,1
2017-06-30,urbanclap,consumerinternet,mobileservicesmarketplace,gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",privateequity,21000000,4
2017-05-01,ace2three,consumerinternet,onlinerummyplayingwebsite,hyderabad,Clairvest Group,privateequity,73700000,1
2017-05-01,power2sme,ecommerce,buyingportalforsmes,gurgaon,International Finance Corporation,privateequity,10000000,1
2017-05-02,innovapptive,technology,enterprisemobilitysolutions,hyderabad,Hyderabad Angels,seedfunding,1500000,1
2017-05-02,4tigo,logistics,trucknetworkcompany,bangalore,"Accel Partners, Nandan Nilekani,",privateequity,10000000,3
2017-05-02,smecorner,consumerinternet,onlineplatformforsmallbusinessloans,mumbai,Dutch government fund,privateequity,12031073,1
2017-05-02,zippserve,consumerinternet,realestateriskassessmentplatform,bangalore,undisclosed investors,seedfunding,390000,1
2017-05-03,ola,consumerinternet,cabaggregationapp,bangalore,"Falcon Edge Capital,  Capital Advisers",privateequity,104500000,2
2017-05-03,sumeru,technology,software&mobiledevelopmentservices,bangalore,undisclosed investors,seedfunding,1000000,1
2017-05-04,healthians,consumerinternet,onlinediagnosticsandwellnessplatform,newdelhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",privateequity,12031073,5
2017-05-05,healthmir,consumerinternet,ai-basedhealthcontentplatform,newdelhi,Nimit Panigrahi,seedfunding,12031073,1
2017-05-05,uactive,consumerinternet,health-basedsocialnetworking&discoveryapp,mumbai,Hinduja family,seedfunding,12031073,1
2017-05-05,i-lend,consumerinternet,peer-to-peerlendingplatform,hyderabad,50K Ventures,seedfunding,12031073,1
2017-05-05,goodmethodsglobal,technology,cloudbasedpracticemanagementsoftware,trivandrum,Accel Partners,privateequity,12031073,1
2017-05-05,balanceapp,consumerinternet,moneysavings&managementapp,bangalore,Rainmatter,seedfunding,233000,1
2017-05-08,yepme,ecommerce,privatelabelfashionetailer,gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",privateequity,700000,2
2017-05-08,nightstay,consumerinternet,lastminutehotelbookingmobileapp,newdelhi,"Indian Angels Network, LetsVenture",seedfunding,12031073,2
2017-05-08,devourin,technology,restaurantautomationsolution,pune,Deepak Nathani,seedfunding,12031073,1
2017-05-08,mygreens,food&beverage,cold-pressjuicesmanufacturer,newdelhi,"Ajay Relan, LetsVenture",seedfunding,1000000,2
2017-05-08,aceturtle,technology,omni-channelplatform,bangalore,"Vertex Ventures, C31 Ventures",privateequity,5000000,2
2017-05-08,curefit,technology,health-techplatform,bangalore,"RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",privateequity,3000000,4
2017-05-09,curielabs,technology,energyanalyticsstartup,newdelhi,Satoshi Studios,seedfunding,50000,1
2017-05-09,uncannyvision,technology,computervisiononembeddedsystems,bangalore,Anand Chandrasekaran,seedfunding,12031073,1
2017-05-09,anchanto,technology,ecommercefulfilmentandtechnologyplatform,pune,Luxasia Group,privateequity,12031073,1
2017-05-09,sequretek,technology,itsecurity&datamanagementservices,mumbai,"GVFL, Unicorn India Ventures",privateequity,12031073,2
2017-05-10,lucideus,technology,cybersecuritystartup,newdelhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,  Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",seedfunding,12031073,7
2017-05-10,vidooly,consumerinternet,videointelligenceplatform,noida,"Times Internet, GVFL",privateequity,1400000,2
2017-05-10,shopclues,ecommerce,onlinemarketplace,gurgaon,InnoVen Capital,privateequity,7700000,1
2017-05-10,fourthambit,consumerinternet,communitybuildingplatform,bangalore,1Crowd,seedfunding,600000,1
2017-05-10,chymeravr,technology,advertisingplatformforvirtualreality,bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",seedfunding,12031073,3
2017-05-11,earlysalary,consumerinternet,onlinelendingplatform,pune,"DG Ventures India, Dewan Housing Finance Corp",privateequity,4000000,2
2017-05-11,bookmydiamond,ecommerce,diamondb2betailer,mumbai,Chirag Nikunj Sheth & Others,seedfunding,12031073,1
2017-05-11,ionenergy,technology,cleantechstartup,mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",seedfunding,12031073,3
2017-05-12,legalraasta,consumerinternet,legalservicestosmes&individuals,newdelhi,Impanix Capital,privateequity,5000000,1
2017-05-12,log9materials,technology,nanotechproductdeveloper,bangalore,GEMs,seedfunding,12031073,1
2017-05-12,remitguru,consumerinternet,digitalmoneytransferplatform,mumbai,"Infibeam, CCavenue",privateequity,466000,2
